,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Loa Janan,ID,72.59,-0.58,117.09,90,50,1.43
1,Lata,IN,22.19,30.78,78.62,67,0,11.01
2,Capanema,BR,68.9,-25.67,-53.8,100,90,8.05
3,Hilo,US,77.14,19.71,-155.08,57,40,4.7
4,Roald,NO,49.51,62.58,6.12,93,75,4.7
5,Avarua,CK,77,-21.21,-159.78,61,7,11.41
6,Port Alfred,ZA,62.01,-33.59,26.89,94,100,1.99
7,Tasiilaq,GL,22.73,65.61,-37.64,88,29,2.98
8,Bredasdorp,ZA,62.6,-34.53,20.04,72,1,10.29
9,Kaitangata,NZ,46,-46.28,169.85,91,33,1.99
10,Grants,US,68,35.15,-107.85,14,40,12.75
11,Praia,BR,82.98,-20.25,-43.81,45,20,9.17
12,Port Blair,IN,84.11,11.67,92.75,73,34,4.29
13,Torbay,CA,50.49,47.66,-52.73,93,90,27.51
14,Rikitea,PF,79.61,-23.12,-134.97,81,56,13.62
15,Albany,US,64.04,42.65,-73.75,63,75,8.05
16,Butaritari,KI,82.85,3.07,172.79,80,100,19.06
17,Dikson,RU,15.53,73.51,80.55,96,100,7.54
18,Anloga,GH,86,5.79,0.9,74,20,9.17
19,Salalah,OM,82.4,17.01,54.1,74,40,9.17
20,Caucaia,BR,82.11,-3.73,-38.66,74,40,5.82
21,Punta Arenas,CL,51.4,-53.16,-70.91,66,0,26.4
22,Nikolskoye,RU,38.71,59.7,30.79,60,0,4.47
23,Atuona,PF,83.57,-9.8,-139.03,77,19,13.56
24,Kropotkin,RU,44.69,45.43,40.58,61,88,12.59
25,Ushuaia,AR,46.4,-54.81,-68.31,81,75,18.34
26,Aktau,KZ,37.4,43.65,51.16,64,0,4.47
27,Oga,NG,85.73,8.18,5.65,56,82,10.36
28,Mataura,NZ,44.01,-46.19,168.86,96,21,2.19
29,Qaanaaq,GL,5.27,77.48,-69.36,91,100,4.9
30,Murgab,TM,55.4,37.5,61.97,87,75,7.38
31,Mattru,SL,81.77,7.62,-11.83,82,64,4.47
32,Alzamay,RU,27.05,55.55,98.67,71,96,10.87
33,La Orilla,MX,82.85,18,-102.23,62,3,10.51
34,Vao,EE,43.79,59.1,26.19,62,0,5.59
35,Souillac,FR,57.47,45.6,-0.6,72,98,2.24
36,Hithadhoo,MV,83.57,-0.6,73.08,77,100,16.11
37,Touros,BR,82.4,-5.2,-35.46,83,40,6.93
38,Hofn,IS,29.21,64.25,-15.21,92,100,3.76
39,Erenhot,CN,61.25,43.65,111.97,25,100,15.97
40,Tahara,JP,60.67,34.64,137.18,93,75,4.7
41,Upernavik,GL,17.51,72.79,-56.15,89,100,13.42
42,Abay,KZ,24.8,49.63,72.87,92,0,6.71
43,Muisne,EC,80.6,0.61,-80.02,83,75,4.7
44,Provideniya,RU,10.4,64.42,-173.23,66,0,17.9
45,Cape Town,ZA,63.63,-33.93,18.42,59,20,20.8
46,Arlit,NE,82.67,18.74,7.39,8,0,2.77
47,Makakilo City,US,79.43,21.35,-158.09,51,40,9.17
48,Nemuro,JP,39.83,43.32,145.57,74,100,8.9
49,Sao Joao da Barra,BR,85.06,-21.64,-41.05,66,0,11.41
50,Bluff,AU,65.57,-23.58,149.07,86,61,13.69
51,Ukwa,NG,80.33,5.47,8.01,82,100,5.68
52,Rabo de Peixe,PT,60.8,37.8,-25.58,72,20,11.41
53,Busselton,AU,40.68,-33.64,115.35,66,10,8.59
54,Hobart,AU,53.58,-42.88,147.33,54,40,10.29
55,Buchanan,LR,82.4,5.88,-10.05,83,40,8.14
56,Bambous Virieux,MU,77.36,-20.34,57.76,94,75,11.41
57,Silifke,TR,46.49,36.38,33.93,52,2,13.06
58,Gigmoto,PH,80.87,13.78,124.39,76,53,12.21
59,Omsukchan,RU,22.73,62.53,155.8,93,49,7.85
60,Muli,IN,82.67,22.62,71.45,45,0,11.05
61,Padang,ID,83.75,-0.92,100.36,71,100,3.8
62,San Patricio,PY,78.35,-26.98,-56.83,83,100,4.94
63,Tahe,CN,24.17,52.34,124.71,49,0,1.66
64,East London,ZA,60.35,-33.02,27.91,92,100,7.56
65,Pyapon,MM,82.13,16.29,95.68,63,20,8.21
66,Hermanus,ZA,62.76,-34.42,19.24,83,0,3
67,Saldanha,PT,57.47,41.42,-6.55,58,97,3.09
68,Esperance,TT,83.48,10.24,-61.45,58,40,17.22
69,Bethel,US,25.21,60.79,-161.76,79,90,13.87
70,Ust-Koksa,RU,18.77,50.27,85.62,97,100,3.49
71,Thompson,CA,30.2,55.74,-97.86,80,90,4.7
72,Bandarbeyla,SO,80.33,9.49,50.81,76,63,7.85
73,Kruisfontein,ZA,58.37,-34,24.73,88,75,6.11
74,Tiksi,RU,16.79,71.64,128.87,76,53,6.67
75,Markkleeberg,DE,53.58,51.28,12.37,41,0,8.05
76,Brigantine,US,63.59,39.41,-74.36,55,1,11.41
77,Maceio,BR,80.6,-9.67,-35.74,69,20,6.93
78,Taonan,CN,48.11,45.34,122.78,16,28,8.48
79,Grass Valley,US,68.45,39.22,-121.06,55,1,12.75
80,Ponta do Sol,BR,69.35,-20.63,-46,77,42,2.35
81,Meulaboh,ID,82.13,4.14,96.13,79,66,2.51
82,Castro,CL,50,-42.48,-73.76,81,90,4.7
83,Moindou,NC,73.4,-21.69,165.68,83,0,1.12
84,Kapaa,US,77.97,22.08,-159.32,65,1,17.22
85,Taseyevo,RU,19.85,57.22,94.9,89,3,8.5
86,Keetmanshoop,NA,71.6,-26.57,18.15,24,0,8.05
87,Ushibuka,JP,64.31,32.19,130.02,72,82,4.79
88,Tuktoyaktuk,CA,26.6,69.44,-133.03,79,20,13.87
89,Kitimat,CA,45.43,54.02,-128.69,70,90,19.46
90,Saskylakh,RU,4.01,71.97,114.09,97,92,8.43
91,Celestun,MX,79.25,20.87,-90.4,66,0,19.19
92,Xam Nua,LA,66.47,20.42,104.04,84,0,2.53
93,Vaini,IN,74.93,15.34,74.49,77,3,2.13
94,Ixtapa,MX,81.21,20.71,-105.21,69,5,12.75
95,Goundam,ML,92.93,16.42,-3.66,13,0,3.85
96,Nanortalik,GL,30.65,60.14,-45.24,86,19,10.71
97,Rio Gallegos,AR,59,-51.62,-69.22,41,0,17.22
98,Sorong,ID,76.37,-0.86,131.25,94,83,1.9
99,Richards Bay,ZA,72.77,-28.77,32.06,78,100,20.58
100,Ilulissat,GL,28.4,69.22,-51.1,86,90,9.17
101,Amiens,FR,58.84,49.89,2.3,55,0,6.93
102,Cap Malheureux,MU,77.65,-19.98,57.61,94,75,11.41
103,Shizunai,JP,45.05,42.33,142.37,65,44,3.09
104,Sangar,RU,17.51,63.92,127.47,90,68,5.17
105,Sibolga,ID,83.03,1.74,98.78,76,100,2.89
106,Riyadh,SA,75.2,24.63,46.72,38,0,3.36
107,Vila Franca do Campo,PT,60.8,37.72,-25.43,72,20,11.41
108,Port Elizabeth,US,66.15,39.31,-74.98,63,90,6.93
109,Meadow Lake,CA,51.8,54.13,-108.44,37,75,4.7
110,Jamestown,AU,54.77,-33.21,138.6,70,21,7.78
111,Tura,IN,76.91,25.52,90.21,52,94,4.38
112,Mikuni,JP,55.4,36.22,136.15,76,75,8.05
113,Lasa,CY,57.45,34.92,32.53,54,20,12.75
114,Kavieng,PG,82.49,-2.57,150.8,76,41,1.07
115,Mutoko,ZW,61.43,-17.4,32.23,65,0,1.92
116,Georgetown,GY,86.97,6.8,-58.16,70,40,16.11
117,Hoa Binh,VN,77,20.81,105.34,78,0,5.82
118,Codrington,AU,58.6,-28.95,153.24,100,90,1.12
119,Flinders,AU,63.39,-34.58,150.85,100,100,2.19
120,Bima,ID,72.23,-8.45,118.73,97,100,2.53
121,Valparaiso,US,75.6,41.47,-87.06,24,1,8.05
122,San-Pedro,CI,76.37,4.75,-6.64,96,100,3.87
123,Galle,US,82.36,29.74,-97.91,48,1,17.22
124,Cidreira,BR,66.83,-30.17,-50.22,73,100,10.98
125,Lebu,ET,60.35,8.96,38.73,77,49,3.33
126,Puerto Ayora,EC,82.98,-0.74,-90.35,70,75,9.17
127,Saint-Philippe,CA,60.26,45.36,-73.48,77,90,8.05
128,Tilichiki,RU,25.97,60.47,166.1,67,0,5.86
129,Frontignan,FR,56.35,43.45,3.75,71,0,8.05
130,Segezha,RU,41.09,63.74,34.31,78,100,11.03
131,Emba,CY,57.4,34.81,32.42,54,20,12.75
132,Sheridan,US,58.12,39.65,-105.03,36,75,10.29
133,Victoria,BN,80.78,5.28,115.24,88,75,1.12
134,Birao,CF,86.63,10.3,22.78,11,0,7.87
135,Zurrieq,MT,60.57,35.83,14.47,82,0,27.51
136,Sinnamary,GF,81.23,5.38,-52.96,76,77,15.12
137,Kuryk,KZ,48.65,43.18,51.68,57,0,1.32
138,Zhezkazgan,KZ,37.85,47.8,67.71,60,94,8.12
139,Ayan,TR,25.07,40.67,33.6,98,59,5.41
140,Cabo San Lucas,MX,80.82,22.89,-109.91,42,75,2.24
141,Gazanjyk,TM,55.13,39.24,55.52,51,0,10.89
142,Rafai,CF,77.09,4.95,23.92,28,71,2.28
143,Margate,AU,53.62,-43.03,147.26,54,40,10.29
144,Tamandare,BR,82.13,-8.28,-70.75,93,100,2.77
145,Boende,CD,74.21,-0.28,20.88,95,100,3.2
146,Gizo,IL,52.68,31.8,34.94,50,40,11.41
147,Severo-Kurilsk,RU,34.43,50.68,156.12,91,96,18.52
148,Kodiak,US,84.38,39.95,-94.76,28,1,28.86
149,Cabedelo,BR,82.4,-6.97,-34.84,74,20,10.29
150,Zhigansk,RU,15.35,66.77,123.37,89,80,7.43
151,Chokurdakh,RU,15.35,70.62,147.9,80,99,16.22
152,Isangel,VU,79.43,-19.55,169.27,84,100,16.6
153,Vila Velha,BR,82.11,-3.71,-38.6,74,40,5.82
154,Shalinskoye,RU,22.91,55.72,93.76,77,11,7.36
155,San Ciro de Acosta,MX,95.09,21.65,-99.82,14,0,9.82
156,Tiangua,BR,75.47,-3.73,-40.99,94,100,3.29
157,Kieta,PG,82.67,-6.22,155.63,74,54,3.4
158,Yellowknife,CA,32,62.45,-114.38,60,75,4.7
159,Moron,VE,84.11,10.49,-68.2,61,47,7.78
160,Ostrovnoy,RU,38.21,68.05,39.51,91,100,19.55
161,Yelizovo,RU,30.2,53.19,158.38,80,75,4.47
162,Strezhevoy,RU,32,60.73,77.6,95,0,4.47
163,Hasaki,JP,54.21,35.73,140.83,93,75,1.12
164,Port Macquarie,AU,57.79,-31.43,152.91,93,98,1.86
165,Nagornskiy,RU,35.01,58.77,57.55,50,100,5.39
166,Bara,NG,88.61,10.41,10.6,17,67,1.59
167,Lorengau,PG,78.71,-2.02,147.27,91,63,2.3
168,Tessalit,ML,91.49,20.2,1.01,11,0,8.57
169,Half Moon Bay,US,64.72,37.46,-122.43,63,20,13.87
170,Moussoro,TD,94.55,13.64,16.49,8,3,13.04
171,Ancud,CL,50,-41.87,-73.83,81,90,4.7
172,Neyvo-Shaytanskiy,RU,39.65,57.73,61.25,86,96,6.04
173,Namibe,AO,73.13,-15.19,12.15,78,72,5.79
174,Vardo,US,63.59,39.62,-77.74,48,90,4.7
175,Takahagi,JP,54.84,36.74,140.69,100,75,1.12
176,Barrow,AR,59.63,-38.31,-60.23,58,0,8.39
177,Saint-Louis,CH,55.53,47.59,7.56,66,0,2.24
178,Brae,GB,52.3,60.4,-1.35,76,59,17.22
179,Pasni,PK,81.95,25.26,63.48,59,0,3.38
180,Cherskiy,RU,10.13,68.75,161.3,80,19,4.18
181,Sao Jose da Coroa Grande,BR,76.37,-8.9,-35.15,79,55,3.78
182,Harper,US,80.04,30.3,-99.24,44,1,12.75
183,Vestmannaeyjar,IS,43.43,63.44,-20.27,76,100,9.31
184,Lewisporte,CA,53.44,49.25,-55.06,93,90,10.29
185,Wilmington,US,66.25,39.75,-75.55,39,75,6.93
186,De-Kastri,RU,32.99,51.48,140.77,69,24,8.72
187,Guarapari,BR,83.55,-20.67,-40.5,74,20,11.41
188,Saint George,GR,50.86,39.45,22.34,81,75,1.28
